---,PropID,PropName,PropDescription,PropCategory,PropSubCategories,PropIcon,PropClass
1011,1011,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""AA1F001441D26C02323424A9DD693626"", ""나무 상자"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""BCD1F7F4432B24AAA4C82A8D54A6B0D4"", ""나무 상자"")",Basic,"(Wood,Build)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/CrateTexture.CrateTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_CrateProp.BP_CrateProp_C'
1012,1012,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""F7AFAAD0415C96DCE084029193240AB3"", ""울타리1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""D9C225644A593B575D6521B36D8BB397"", ""울타리1"")",Basic,"(Wood,Build)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/FenceOne.FenceOne',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_FenceOneProp.BP_FenceOneProp_C'
1013,1013,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""623DFA114526578C221296B6A1B40643"", ""울타리2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2B2386FC42454048F3E853A2DA9B56E6"", ""울타리2"")",Basic,"(Wood,Build)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/FenceTwo.FenceTwo',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_FenceTwoProp.BP_FenceTwoProp_C'
1014,1014,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""513986714228AF07F953D2AEAD32F6CC"", ""땅1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""C9013CB749195DA85AFC9EBFE46AE79F"", ""땅1"")",Basic,"(Soil,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/GroundOneTexture.GroundOneTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_GroundOneProp.BP_GroundOneProp_C'
1015,1015,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2C7252294199F07815E59C9D93E57C22"", ""땅2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""5D4331C04AB9DE79755625A02192C71B"", ""땅2"")",Basic,"(Soil,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/GroundTwo.GroundTwo',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_GroundTwoProp.BP_GroundTwoProp_C'
1016,1016,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""A470C2A84EBE8E731ECC86A7E5BC042B"", ""땅3"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""5B41F7534791B3B77DFF84B1004D1062"", ""땅3"")",Basic,"(Soil,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/GroundThree.GroundThree',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_GroundThreeProp.BP_GroundThreeProp_C'
1017,1017,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""1F7C47CD4AD0D4A3953F6AAB7253A486"", ""땅 타일1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""EF9DF0534AD5DC8F83D1DA8DB5149C6D"", ""땅 타일1"")",Basic,"(Soil,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/GroundTileOne.GroundTileOne',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_GroundTileOneProp.BP_GroundTileOneProp_C'
1018,1018,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""1D1FDF064BDE92977B5289A88346FF6D"", ""땅 타일2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""4B0BF6F34DC0973834238BBF90B314B6"", ""땅 타일2"")",Basic,"(Soil,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/GroundTileTwo.GroundTileTwo',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_GroundTileTwoProp.BP_GroundTileTwoProp_C'
1019,1019,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""44632955456CC155731941AE226B9E20"", ""땅 타일3"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""DDE085594B5AFF298B586CA0DEB35FD7"", ""땅 타일3"")",Basic,"(Soil,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/GroundTileTwo.GroundTileTwo',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_GroundTileThreeProp.BP_GroundTileThreeProp_C'
1020,1020,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""C3432EB4484AA2CF621041961C3A8052"", ""집1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""1D39665F4F879AA7E484ED9594206DEB"", ""집1"")",Basic,(Build),/Script/Engine.Texture2D'/Game/Props/Build/Textures/HouseOne.HouseOne',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_HouseOneProp.BP_HouseOneProp_C'
1021,1021,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""067742F043935D957257EA8766DDE48D"", ""집2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""063FB3DA4384C5324A2E8982C73E7513"", ""집2"")",Basic,(Build),/Script/Engine.Texture2D'/Game/Props/Build/Textures/HouseTwo.HouseTwo',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_HouseTwoProp.BP_HouseTwoProp_C'
1022,1022,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""C1DDD38E4E4E10C9FD40AF9CAD03A320"", ""집3"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""5509B94C49183886569FC49E3AE82A81"", ""집3"")",Basic,(Build),/Script/Engine.Texture2D'/Game/Props/Build/Textures/HouseThree.HouseThree',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_HouseThreeProp.BP_HouseThreeProp_C'
1023,1023,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""E3013B854DBBA66A0FA27B9E7E266A02"", ""부서진 사다리"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""D3D0C2D24194CC7D97C44E880D856DCA"", ""부서진 다리"")",Basic,"(Wood,Build)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/LadderTileBroken.LadderTileBroken',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_LadderTileBrokenProp.BP_LadderTileBrokenProp_C'
1024,1024,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""B8F0AC4A497044016EE1A08F3FFCA2C5"", ""사다리"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2DEB2C5A49F7B459E7058F8FD92EBBA9"", ""사다리"")",Basic,"(Wood,Build)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/LadderTile.LadderTile',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_LadderTileProp.BP_LadderTileProp_C'
1025,1025,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""40C15C85485288304D3B118EB9BCCC87"", ""통나무 더미"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""4093B1944649CAFF89E8E5BCAC592C41"", ""통나무 더미"")",Basic,(Wood),/Script/Engine.Texture2D'/Game/Props/Build/Textures/LogPile.LogPile',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_LogPileProp.BP_LogPileProp_C'
1026,1026,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""16B8520B4B166D38DAA9D5898F165950"", ""땅 플랫폼 1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""AA72F9C0435259EF0DDCCF94B094A264"", ""땅 플랫폼 1"")",Basic,(Soil),/Script/Engine.Texture2D'/Game/Props/Build/Textures/PlatformOne.PlatformOne',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_PlatformOneProp.BP_PlatformOneProp_C'
1027,1027,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""4743D75E47360613AB3DD08889A27CA3"", ""땅 플랫폼 2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""FB395E5B479615BEB09DC9937943A702"", ""땅 플랫폼 2"")",Basic,(Soil),/Script/Engine.Texture2D'/Game/Props/Build/Textures/PlatformTwo.PlatformTwo',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_PlatformTwoProp.BP_PlatformTwoProp_C'
1028,1028,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""0584590D4E124B8B36EFC3B89BEDE876"", ""바위1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""420779354686C26E286F1DBF668E1226"", ""바위1"")",Basic,(Stone),/Script/Engine.Texture2D'/Game/Props/Build/Textures/RockOne.RockOne',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_RockOneProp.BP_RockOneProp_C'
1029,1029,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""1AB1477341DF93EAEA70E7992E18F447"", ""바위2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""8C0380844CECF82E8711ECA264166907"", ""바위2"")",Basic,(Stone),/Script/Engine.Texture2D'/Game/Props/Build/Textures/RockTwo.RockTwo',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_RockTwoProp.BP_RockTwoProp_C'
1030,1030,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""94E258204D0B9814FAFEB7BF06CD235F"", ""바위3"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""36D6E4ED44D128874D0CCF8B4E15C86A"", ""바위3"")",Basic,(Stone),/Script/Engine.Texture2D'/Game/Props/Build/Textures/RockThree.RockThree',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_RockThreeProp.BP_RockThreeProp_C'
1031,1031,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""10C630A547C790A1F6DECFB0FC92C569"", ""그루터기"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""B2874AA745A766E593C5809EDEC8249A"", ""그루터기"")",Basic,(Wood),/Script/Engine.Texture2D'/Game/Props/Build/Textures/Stump.Stump',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_StumpProp.BP_StumpProp_C'
1032,1032,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""4016945B49430C1BD9EC9898195662C9"", ""나무1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""ACD523A843AFD1C5B33BEBB685E25050"", ""나무1"")",Basic,"(Wood,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/TreeOne.TreeOne',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_TreeOneProp.BP_TreeOneProp_C'
1033,1033,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""B6DCA3884040707ED8B6F3B9AE76E603"", ""나무2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""333224724EF25338FAFFD5B7CD3B79D4"", ""나무2"")",Basic,"(Wood,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/TreeTwo.TreeTwo',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_TreeTwoProp.BP_TreeTwoProp_C'
1034,1034,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""DB6A4F334C3405EE787E2EBFBDE8EA8E"", ""나무3"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""6AC19EE540D534356BF6A6AC1E32FF26"", ""나무3"")",Basic,"(Wood,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/TreeThree.TreeThree',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_TreeThreeProp.BP_TreeThreeProp_C'
1035,1035,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""A0EC3ED948D3F0D984EA2181F787CF39"", ""나무4"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""7AE7061643756ED7ECC7888B6BF06BFD"", ""나무4"")",Basic,"(Wood,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/TreeFour.TreeFour',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_TreeFourProp.BP_TreeFourProp_C'
1036,1036,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""8392FD18465BECDBE0AAA9B2063833B5"", ""나무5"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""44F465B0431DF4F07038DA89B83DE2E8"", ""나무5"")",Basic,"(Wood,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/TreeFive.TreeFive',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_TreeFiveProp.BP_TreeFiveProp_C'
1037,1037,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""AAF500B54F256EF901B6978AD470A168"", ""나무6"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""7803494647FA3738804E9FAB333B9F01"", ""나무6"")",Basic,"(Wood,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/TreeSix.TreeSix',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_TreeSixProp.BP_TreeSixProp_C'
1038,1038,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""9CA500F648DE0DC1D16A918CEB7B9248"", ""나무7"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""E66CEAC0484571F6F0330F856296BCB8"", ""나무7"")",Basic,"(Wood,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/TreeSeven.TreeSeven',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_TreeSevenProp.BP_TreeSevenProp_C'
1039,1039,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2CB70A0048D4101B0539B79E675959F8"", ""나무8"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""6E03538240F903FF360B738DB29451B2"", ""나무8"")",Basic,"(Wood,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/TreeEight.TreeEight',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_TreeEightProp.BP_TreeEightProp_C'
1040,1040,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""1F2656254919A6EE16B9368CF320FDCF"", ""나무 줄기1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""07B0EE6C450C3EA1F746CDB99014B254"", ""나무 줄기1"")",Basic,(Wood),/Script/Engine.Texture2D'/Game/Props/Build/Textures/TreeTrunkOne.TreeTrunkOne',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_TreeTrunkOneProp.BP_TreeTrunkOneProp_C'
1041,1041,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""A7AB12F54FEDEEC4CCE2E8BC0641F3BB"", ""나무 줄기2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""D44DA8814FD5AC8E5AB1BCA1B496A8DA"", ""나무 줄기2"")",Basic,(Wood),/Script/Engine.Texture2D'/Game/Props/Build/Textures/TreeTrunkTwo.TreeTrunkTwo',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_TreeTrunkTwoProp.BP_TreeTrunkTwoProp_C'
1042,1042,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""27882FBF43DAB54CF19A49B8C48B1366"", ""농작지1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""B1C8291C470030006BD5058B8BEE47DF"", ""농작지1"")",Basic,(Soil),/Script/Engine.Texture2D'/Game/Props/Build/Textures/FarmOne.FarmOne',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_FarmOneProp.BP_FarmOneProp_C'
1043,1043,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2F1F1499406C1E07FFF5EB870A328050"", ""농작지2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""A57A8BCA4406224F09D8E99B4B2B3F40"", ""농작지2"")",Basic,(Soil),/Script/Engine.Texture2D'/Game/Props/Build/Textures/FarmTwo.FarmTwo',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_FarmTwoProp.BP_FarmTwoProp_C'
1044,1044,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""E2BEB8BF4E6DF232AF35A2A971882B97"", ""농작지3"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""D09AA6764DA89FB2CE9675A6B2062BA1"", ""농작지3"")",Basic,(Soil),/Script/Engine.Texture2D'/Game/Props/Build/Textures/FarmThree.FarmThree',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_FarmThreeProp.BP_FarmThreeProp_C'
2001,2001,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""91065157498E90E2FEBE409F12E05E8A"", ""당근이 싫어"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2CA8B0624B573DD21E591D8CA421AD37"", ""당근이 싫어"")",Obstacle,(Bouncing),/Script/Engine.Texture2D'/Game/Props/Obstacle/Texture/CarrotBounceBollardTexture.CarrotBounceBollardTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Obstacle/BP_CarrotBounceBollardProp.BP_CarrotBounceBollardProp_C'
2002,2002,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""88CBDE13419048F8768EEC9BE9B44B0F"", ""연잎 방방"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""B9217AEF4B7725397F7B89BABCD45A36"", ""연잎 방방"")",Obstacle,(Bouncing),/Script/Engine.Texture2D'/Game/Props/Obstacle/Texture/LotusLeaf.LotusLeaf',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Obstacle/BP_LotusLeafTrampolineProp.BP_LotusLeafTrampolineProp_C'
2003,2003,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""046AE5214A6C46AF651738A23CD75988"", ""엄마의 메아리"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""5100875B45AA6F278392C6B3F5EB702C"", ""엄마의 메아리"")",Obstacle,(AI),/Script/Engine.Texture2D'/Game/Props/Obstacle/Texture/Radio.Radio',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Obstacle/BP_SoundMommy.BP_SoundMommy_C'
2004,2004,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""02C17B2F477B3E2DCA382BBEB53CBBED"", ""항아리 대포"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""F8074A9842992335B47FDB92CE5D3625"", ""항아리 대포"")",Obstacle,(Firing),/Script/Engine.Texture2D'/Game/Props/Obstacle/Texture/PotCannon.PotCannon',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Obstacle/BP_PotRollingCannonProp.BP_PotRollingCannonProp_C'
2005,2005,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""78061BCD434F7B5850A830B75AA48336"", ""홍수 났다!"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""84AD509546A2301EA595478851543A0B"", ""홍수 났다!"")",Obstacle,(Pad),/Script/Engine.Texture2D'/Game/Props/Obstacle/Texture/ConveyorBelt.ConveyorBelt',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Obstacle/BP_ConveyorBelt.BP_ConveyorBelt_C'
2006,2006,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""374FF7494D02354F9FB980995D2AED99"", ""파리잡기"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""C46D9FC8407EC133AD8BF2A795873978"", ""파리잡기"")",Obstacle,(AI),/Script/Engine.Texture2D'/Game/Props/Obstacle/Texture/LotusFlower.LotusFlower',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Obstacle/BP_ObjectEyeHunterProp.BP_ObjectEyeHunterProp_C'
2007,2007,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""7132E2EC4E426E7E4DCB83AC326F9826"", ""꿀벌의 비행"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""AB87E7B647BCC79BAF0C3DA5FC6BA16C"", ""꿀벌의 비행"")",Obstacle,"(Rotating,Bouncing)",/Script/Engine.Texture2D'/Game/Props/Obstacle/Texture/Bee.Bee',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Obstacle/BP_RotHammer.BP_RotHammer_C'
2008,2008,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""AAFF6FC546D1EFA87FB0179A1558B714"", ""나무 망치"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""A518F5D94C0E6CA594233F976E7C946E"", ""나무 망치"")",Obstacle,(Rotating),/Script/Engine.Texture2D'/Game/Props/Obstacle/Texture/WoodHammer.WoodHammer',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Obstacle/BP_RotSpike.BP_RotSpike_C'
2009,2009,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""91065157498E90E2FEBE409F12E05E8A"", ""당근이 싫어"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2CA8B0624B573DD21E591D8CA421AD37"", ""당근이 싫어"")",Obstacle,,/Script/Engine.Texture2D'/Game/MapEditor/8da75caf54288992489aa365e3f6e511.8da75caf54288992489aa365e3f6e511',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Obstacle/BP_CarrotBounceBollardProp.BP_CarrotBounceBollardProp_C'
